"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
5,"Schiersfeld",NA,"49,69429167","7,763863889","1359","1359","WMD","WMD","ei","au","au",1,1359,7.763863889,49.69429167
3,"Schlanders am Etsch",NA,"46,633333","10,766667","1400","1400","OOD","Tirol","ei","au","au",1,1400,10.766667,46.633333
3,"Schwalheim",NA,"50,356158","8,763764","1779","1779","MDT","Hessen","ei","au","au",1,1779,8.763764,50.356158
2,"Schweich (Prüm)",NA,"49,819561","6,752217","1517","1517","WMD","WMD","ei","au","au",1,1517,6.752217,49.819561
3,"Sickte",NA,"52,215556","10,637778","1571","1571","NDT","Niedersachsen","ei","au","au",1,1571,10.637778,52.215556
2,"Sinzenich","Sinzig","50,66","6,648056","1650","17.Jh.","WMD","WMD","ei","au","au",1,1650,6.648056,50.66
4,"Soden Weistumb Soden am Sulzbach",NA,"49,926722","9,2162","1634","1634","MDT","MDT","ei","au","au",1,1634,9.2162,49.926722
3,"Stumm",NA,"47,29","11,89","1450","15. Jh.","OOD","Tirol","ei","au","au",1,1450,11.89,47.29
4,"Tägerwylen",NA,"47,655558","9,131383","1447","1447","CH","CH","ei","au","au",1,1447,9.131383,47.655558
2,"Ürzig (Mosel)",NA,"49,982222","7,005278","1568","1568","WMD","WMD","ei","au","au",1,1568,7.005278,49.982222
1,"Wagenhausen (bei Stein am Rhein)",NA,"47,659633","8,848489","1491","1491","CH","CH","ei","au","au",1,1491,8.848489,47.659633
3,"Wetterau",NA,"50,333333","8,752431","1611","1611","MDT","Hessen","ei","au","au",1,1611,8.752431,50.333333
3,"Ahlten (bei Hannover, Coldingen)",NA,"52,365061","9,911964","1551","1551","NDT","Niedersachsen",NA,"au","au",1,1551,9.911964,52.365061
6,"Albersweiler (bei Annweiler, Landau)",NA,"49,22","8,032222","1601","Anfang 17. Jh.","WMD","WMD",NA,"au","au",1,1601,8.032222,49.22
2,"Alflen","ggf Alf","50,176959","7,040473","1499","1499","WMD","WMD",NA,"au","au",1,1499,7.040473,50.176959
