Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,Jahr_num,variant_bin
3.0,Prüm,,"50,208056","6,424444",1639,vor 1640,WMD,WMD,ei,au,,6.424444,50.208056,1639.0,1.0
2.0,Riol und Velle (Mosel),,"49,793333","6,791389",1537,1537,WMD,WMD,ei,au,,6.791389,49.793333,1537.0,1.0
5.0,Romanswiller,,"48,64527778","7,406944444",1589,1589,Elsass,Elsass,ei,au,,7.406944444,48.64527778,1589.0,1.0
1.0,Rotzenhain ,Rotenhain,"50,600833","7,8825",1537,1537,MDT,MDT,ei,au,,7.8825,50.600833,1537.0,1.0
1.0,Sandhofen am Rhein bei Mannheim,,"49,544695","8,443245",1527,1527,WMD,WMD,ei,au,,8.443245,49.544695,1527.0,1.0
2.0,Scheidweiler (Mosel),Kloster Springiersbach,"50,02522","7,069454",1506,1506,WMD,WMD,ei,au,,7.069454,50.02522,1506.0,1.0
5.0,Schiersfeld,,"49,69429167","7,763863889",1359,1359,WMD,WMD,ei,au,,7.763863889,49.69429167,1359.0,1.0
3.0,Schlanders am Etsch,,"46,633333","10,766667",1400,1400,OOD,Tirol,ei,au,,10.766667,46.633333,1400.0,1.0
3.0,Schwalheim,,"50,356158","8,763764",1779,1779,MDT,Hessen,ei,au,,8.763764,50.356158,1779.0,1.0
2.0,Schweich (Prüm),,"49,819561","6,752217",1517,1517,WMD,WMD,ei,au,,6.752217,49.819561,1517.0,1.0
3.0,Sickte,,"52,215556","10,637778",1571,1571,NDT,Niedersachsen,ei,au,,10.637778,52.215556,1571.0,1.0
2.0,Sinzenich,Sinzig,"50,66","6,648056",1650,17.Jh.,WMD,WMD,ei,au,,6.648056,50.66,1650.0,1.0
4.0,Soden Weistumb Soden am Sulzbach,,"49,926722","9,2162",1634,1634,MDT,MDT,ei,au,,9.2162,49.926722,1634.0,1.0
3.0,Stumm,,"47,29","11,89",1450,15. Jh.,OOD,Tirol,ei,au,,11.89,47.29,1450.0,1.0
4.0,Tägerwylen,,"47,655558","9,131383",1447,1447,CH,CH,ei,au,,9.131383,47.655558,1447.0,1.0
2.0,Ürzig (Mosel),,"49,982222","7,005278",1568,1568,WMD,WMD,ei,au,,7.005278,49.982222,1568.0,1.0
1.0,Wagenhausen (bei Stein am Rhein),,"47,659633","8,848489",1491,1491,CH,CH,ei,au,,8.848489,47.659633,1491.0,1.0
3.0,Wetterau,,"50,333333","8,752431",1611,1611,MDT,Hessen,ei,au,,8.752431,50.333333,1611.0,1.0
3.0,"Ahlten (bei Hannover, Coldingen)",,"52,365061","9,911964",1551,1551,NDT,Niedersachsen,,au,,9.911964,52.365061,1551.0,1.0
6.0,"Albersweiler (bei Annweiler, Landau)",,"49,22","8,032222",1601,Anfang 17. Jh.,WMD,WMD,,au,,8.032222,49.22,1601.0,1.0
2.0,Alflen,ggf Alf,"50,176959","7,040473",1499,1499,WMD,WMD,,au,,7.040473,50.176959,1499.0,1.0
4.0,"Altenbruch, Lüdigwort, Nordleda",,"53,823983","8,774089",1439,1439,NDT,Niedersachsen,,u,,8.774089,53.823983,1439.0,0.0
1.0,Altorf,,"47,311661","8,722229",1439,1439,CH,CH,,u,,8.722229,47.311661,1439.0,0.0
4.0,Altstetten,,"47,38753","8,485842",1429,1429,CH,CH,,u,,8.485842,47.38753,1429.0,0.0
4.0,"Alzey, siebzehn Dörfer",,"49,751667","8,116111",1450,15. Jh,WMD,WMD,,u,,8.116111,49.751667,1450.0,0.0
6.0,Anhausen Gussenstadt Mecklingen,,"48,6178","10,15042",1588,"188, 1686-1688",WOD,Schwaben,,au,,10.15042,48.6178,1588.0,1.0
2.0,Antweiler,,"50,403611","6,830556",1525,1525,WMD,WMD,,au,,6.830556,50.403611,1525.0,1.0
6.0,Armorbach,,"49,643261","9,21899",1395,1395,MDT,Franken,,u,,9.21899,49.643261,1395.0,0.0
1.0,Arzbach an der Lahn bei Ems,,"50,38","7,75",1694,1694,MDT,MDT,,au,,7.75,50.38,1694.0,1.0
1.0,Aspizheim Gauspizheim bei Alzey,Aspisheim,"49,9075","7,982222",1500,1500,WMD,WMD,,au,,7.982222,49.9075,1500.0,1.0
2.0,Bacharach (Hundsrück),,"50,061111","7,769444",1386,1386,WMD,WMD,,u,,7.769444,50.061111,1386.0,0.0
3.0,Beber (zwischen Hülsede und Hamelspringe),,"52,22","9,38",1659,1659,NDT,Niedersachsen,,au,,9.38,52.22,1659.0,1.0
1.0,Becheln bei Braubach,,"50,293036","7,717928",1541,1541,MDT,MDT,,au,,7.717928,50.293036,1541.0,1.0
2.0,Benrod (an der Saar),Lampaden,"49,648611","6,701944",1599,1599,WMD,WMD,,au,,6.701944,49.648611,1599.0,1.0
6.0,Benzenzimmern bei Nördlingen,,"48,890156","10,436846",1450,1450,WOD,Schwaben,,au,,10.436846,48.890156,1450.0,1.0
3.0,Berschampe,Blekede,"53,2874","10,732",1503,1503,NDT,Niedersachsen,,u,,10.732,53.2874,1503.0,0.0
2.0,Boelheim,Haus Bollheim,"50,697898","6,711702",1413,1413,WMD,WMD,,au,,6.711702,50.697898,1413.0,1.0
2.0,Boizweiler (Mosel),Butzweiler,"49,815863","6,619411",1539,1539,WMD,WMD,,au,,6.619411,49.815863,1539.0,1.0
1.0,Borsikon,,"47,284205","8,487077",1412,1412,CH,CH,,u,,8.487077,47.284205,1412.0,0.0
5.0,Boswil,,"47,30075","8,31289",1343,1343,CH,CH,,u,,8.31289,47.30075,1343.0,0.0
3.0,Bruch (auch Feldbersche Bruch; bei Hannover),,"52,3602269","9,656424468",1688,1688,NDT,Niedersachsen,,au,,9.656424468,52.3602269,1688.0,1.0
3.0,Bruch (auch Feldbersche Bruch; bei Hannover),,"52,3602269","9,656424468",1523,1523,NDT,Niedersachsen,,au,,9.656424468,52.3602269,1523.0,1.0
1.0,Bubikon,,"47,269714","8,820278",1483,1483,CH,CH,,u,,8.820278,47.269714,1483.0,0.0
1.0,Burgau,,"47,4059","9,2096",1469,1469,CH,CH,,u,,9.2096,47.4059,1469.0,0.0
5.0,Carbe,Karben,"50,230191","8,77297",1613,1613,MDT,Hessen,,au,,8.77297,50.230191,1613.0,1.0
3.0,"Carben (Großcarben, Kleincarben, Burggresenrodoe)",,"50,230191","8,77297",1499,1499,MDT,Hessen,,au,,8.77297,50.230191,1499.0,1.0
2.0,Clüsserath (Mosel),,"49,844167","6,853889",1546,1546,WMD,WMD,,au,,6.853889,49.844167,1546.0,1.0
