Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,Jahr_num,variant_bin
2.0,Ittel,,"49,87036","6,5905",1561,1561,WMD,WMD,i,,,6.5905,49.87036,1561.0,0.0
1.0,Ittenheim ,,"48,604167","7,594444",1550,16. Jh.,Elsass,Elsass,i,,,7.594444,48.604167,1550.0,0.0
4.0,Jebsheim bei Colmar,,"48,123611","7,476667",1590,16. Jh. Ende,Elsass,Elsass,i,,,7.476667,48.123611,1590.0,0.0
4.0,Karspach,,"47,61527778","7,211944444",1420,1420,Elsass,Elsass,i,,,7.211944444,47.61527778,1420.0,0.0
1.0,Kirchzarten,,"47,96499","7,95708",1395,1395,WOD,Schwarzwald,i,,,7.95708,47.96499,1395.0,0.0
1.0,Kleinkembs,,"47,6881","7,5234",1350,1350,WOD,Schwarzwald,i,u,,7.5234,47.6881,1350.0,0.0
4.0,Knonau,,"47,224996","8,461663",1414,1414,CH,CH,i,,,8.461663,47.224996,1414.0,0.0
5.0,Koellikon,Köllikon,47,8,1401,15. Jh. Anfang,CH,CH,i,u,,8.0,47.0,1401.0,0.0
3.0,Langenerringen,,"48,143056","10,760833",1378,1378,WOD,Schwaben,i,,,10.760833,48.143056,1378.0,0.0
5.0,Limburg,Limburg an der Lahn,"50,38333333","8,066666667",1448,1448,MDT,WMD,i,u,,8.066666667,50.38333333,1448.0,0.0
1.0,Lorsch,,"49,653889","8,5675",1423,1423,MDT,MDT,i,u,,8.5675,49.653889,1423.0,0.0
1.0,Lussheim am Rhein bei Speyer,,"49,299722","8,5",1516,1516,WMD,WMD,i,,,8.5,49.299722,1516.0,0.0
4.0,Lutterbach,,"47,75972222","7,280555556",1401,15. Jh. Anfang,Elsass,Elsass,i,,,7.280555556,47.75972222,1401.0,0.0
2.0,Metloch (Saar),Mettlach,"49,493889","6,6",1493,1493,WMD,WMD,i,,,6.6,49.493889,1493.0,0.0
4.0,Mittelwir bei Sigolsheim,,"48,150833","7,319444",1585,1585,Elsass,Elsass,i,,,7.319444,48.150833,1585.0,0.0
2.0,Montcler,Burg Montclair ,"49,495917","6,5575",1521,1521,WMD,WMD,i,,,6.5575,49.495917,1521.0,0.0
1.0,Mülheim,,"47,599997","8,999994",1475,1475,CH,CH,i,,,8.999994,47.599997,1475.0,0.0
3.0,Mümlingen,Mümling bei Michelstadt,"49,831561","9,143929",1422,1422,MDT,Franken,i,,,9.143929,49.831561,1422.0,0.0
5.0,Muri,,47,8,1413,1413,CH,CH,i,u,,8.0,47.0,1413.0,0.0
1.0,Neukilch im Klettgau,,"47,690275","8,499161",1330,1330,CH,CH,i,u,,8.499161,47.690275,1330.0,0.0
1.0,Niderbüren,,"47,46589","9,2032",1469,1469,CH,CH,i,,,9.2032,47.46589,1469.0,0.0
6.0,Nieder-Altertheim bei Würzburg,,"49,729722","9,743889",1420,1420,MDT,Franken,i,,,9.743889,49.729722,1420.0,0.0
4.0,Niederburnhaupt,,"47,71777778","7,161666667",1382,1382,Elsass,Elsass,i,,,7.161666667,47.71777778,1382.0,0.0
2.0,Niedermendig,Mendig,"50,374444","7,280833",1382,1382,WMD,WMD,i,,,7.280833,50.374444,1382.0,0.0
6.0,Nordheim bei Heilbron,,"49,108611","9,128611",1495,1495,WOD,Schwaben,i,u,,9.128611,49.108611,1495.0,0.0
4.0,Ober-Spechbach,,"47,68055556","7,216666667",1420,1420,Elsass,Elsass,i,,,7.216666667,47.68055556,1420.0,0.0
5.0,Oberbuerfn,Oberbüren,"47,450002","9,166664",1481,1481,CH,CH,i,u,,9.166664,47.450002,1481.0,0.0
1.0,Oberwinterthur bei Winterthur,,"47,516666","8,768611",1472,1472,CH,CH,i,u,,8.768611,47.516666,1472.0,0.0
5.0,Offenheim,Stutzheim-Offenheim,"48,630556","7,618611",1477,vor 1478,Elsass,Elsass,i,,,7.618611,48.630556,1477.0,0.0
4.0,Ohnenheim,,"48,18361111","7,507222222",1401,15. Jh. Anfang,Elsass,Elsass,i,,,7.507222222,48.18361111,1401.0,0.0
3.0,Öringen,Öringen,"49,2","9,5",1253,1253,MDT,Franken,i,,,9.5,49.2,1253.0,0.0
2.0,Protiche,Bruttig-Fankel,"50,131389","7,231667",1468,1468,WMD,WMD,i,,,7.231667,50.131389,1468.0,0.0
1.0,Rastatt,,"48,856944","8,202778",1370,1370,WOD,Schwarzwald,i,,,8.202778,48.856944,1370.0,0.0
2.0,Ravengirsburg bei Simmern Hundsrück,,"49,936944","7,478056",1442,1442,WMD,WMD,i,,,7.478056,49.936944,1442.0,0.0
2.0,Remich,,"49,544917","6,364111",1477,1477,WMD,WMD,i,,,6.364111,49.544917,1477.0,0.0
1.0,Rickenbach (St. Gallen),,"47,449995","9,049995",1495,1495,CH,CH,i,,,9.049995,47.449995,1495.0,0.0
