Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,year_num,interval,Wein_score,Wein_binary,Haus_score,Haus_binary
4.0,Naumberg,,"49,79837","7,9224",1450,15. Jh.,WMD,MDT,,,,7.9224,49.79837,1450.0,1450-1499,,,,
3.0,Naumburg,,"51,247222","9,164722",1465,1465,MDT,Hessen,,au,,9.164722,51.247222,1465.0,1450-1499,,,1.0,1.0
1.0,Neukilch im Klettgau,,"47,690275","8,499161",NN,NN,CH,CH,,,,8.499161,47.690275,,,,,,
3.0,Neukirchen,,"50,871389","9,343333",1486,1486,MDT,Hessen,,u,,9.343333,50.871389,1486.0,1450-1499,,,0.0,0.0
2.0,Neumagen (Mosel),,"49,85951","6,89762",1315,1315,WMD,WMD,,,,6.89762,49.85951,1315.0,1300-1349,,,,
5.0,Nieder-Mockstadt,,"50,33299444","8,944447222",1663,1663,MDT,Hessen,,,,8.944447222,50.33299444,1663.0,1650-1699,,,,
4.0,"Niederroden (bei Babenhausen, Dreieicherhain)",,,,1436,1436,,,,u,,,,1436.0,1400-1449,,,0.0,0.0
3.0,Nienburg,,"52,63851","9,20601",NN,NN,NDT,Westfalen,,au,,9.20601,52.63851,,,,,1.0,1.0
3.0,Nienburg,,"52,63851","9,20601",,,,,,,,9.20601,52.63851,,,,,,
1.0,Nordenstat bei Wiesbaden,,"50,063889","8,343056",1426,1426,MDT,MDT,,au,,8.343056,50.063889,1426.0,1400-1449,,,1.0,1.0
3.0,Nortrupp bei Osnabrück,,"52,28","8,04",1677,1677,NDT,Westfalen,,,,8.04,52.28,1677.0,1650-1699,,,,
2.0,Nurburg,Nürburg (Eifel),"50,342222","6,952222",NN,NN,WMD,WMD,,au,,6.952222,50.342222,,,,,1.0,1.0
2.0,Nürburg (Eifel),,"50,342222","6,952222",1515,1515,WMD,WMD,,,,6.952222,50.342222,1515.0,1500-1549,,,,
6.0,Nürnberg,,"49,455556","11,078611",1365,"1294, 1365",,,,au,,11.078611,49.455556,1365.0,1350-1399,,,1.0,1.0
3.0,Nussdorf,,"48,26","16,36",1450,1450,OOD,AT,,,,16.36,48.26,1450.0,1450-1499,,,,
4.0,Ober-Aspach bei Nieder-Aspach,,"47,775278","7,1325",1588,1588,Elsass,Elsass,,,,7.1325,47.775278,1588.0,1550-1599,,,,
6.0,Ober-Schneidheim bei Marktoffingen,,"48,941667","10,365556",1568,1568,WOD,Schwaben,,,,10.365556,48.941667,1568.0,1550-1599,,,,
4.0,Obereutzen,,"47,943611","7,377778",1461,1461,Elsass,Elsass,,,,7.377778,47.943611,1461.0,1450-1499,,,,
4.0,Oberhilbersheim bei Bingen,,,,NN,NN,MDT,MDT,,,,,,,,,,,
1.0,Obermetmenstetten bei Kronau,,"47,244995","8,46445",NN,NN,CH,CH,,u,,8.46445,47.244995,,,,,0.0,0.0
5.0,Oberuzwil,,"47,42972","9,12306",1436,1436,CH,CH,,u,,9.12306,47.42972,1436.0,1400-1449,,,0.0,0.0
5.0,Oberwoellstadt,Oberwöllstadt,50,9,1478,1478,MDT,Hessen,,u,,9.0,50.0,1478.0,1450-1499,,,0.0,0.0
2.0,Ochtendung (Mosel),,"50,348056","7,389722",NN,NN,WMD,WMD,,au,,7.389722,50.348056,,,,,1.0,1.0
4.0,Offenbach,,"50,097222","8,855556",1550,16. Jh.,MDT,MDT,,,,8.855556,50.097222,1550.0,1550-1599,,,,
3.0,Offenthal-Dreieich,,"50,02","8,7",1380,1380,MDT,Hessen,,,,8.7,50.02,1380.0,1350-1399,,,,
2.0,"Olef bei Scheiden, Dreisborn",,"50,543611","6,487222",1546,1546,WMD,WMD,,,,6.487222,50.543611,1546.0,1500-1549,,,,
1.0,Örbach bei Dierdorf,,"50,548889","7,659444",1480,1480,WMD,MDT,,,,7.659444,50.548889,1480.0,1450-1499,,,,
1.0,Örlikon,,"47,410281","8,544459",NN,NN,CH,CH,,,,8.544459,47.410281,,,,,,
1.0,Ossingen bei Andelfingen,,"47,613054","8,727215",1601,1601,CH,CH,,u,,8.727215,47.613054,1601.0,1600-1649,,,0.0,0.0
1.0,Ossingen bei Andelfingen,,"47,613054","8,727215",NN,NN,CH,CH,,u,,8.727215,47.613054,,,,,0.0,0.0
1.0,Osthausen bei Benfelden und Erstein,,"48,402778","7,643056",NN,NN,Elsass,Elsass,,u,,7.643056,48.402778,,,,,0.0,0.0
1.0,Ottenheim Ichenheim bei Mahlberg,,"48,375556","7,762222",1452,1452,WOD,Schwarzwald,,u,,7.762222,48.375556,1452.0,1450-1499,,,0.0,0.0
5.0,Ottersheim Immesheim (bei Harxheim),,,,NN,NN,WMD,WMD,,au,,,,,,,,1.0,1.0
3.0,Peitigau,Peiting,"47,8","9,79",1435,1435,OOD,Baiern,,,,9.79,47.8,1435.0,1400-1449,,,,
6.0,Pellenz,,"50,38333333","7,35",NN,NN,WMD,WMD,,au,,7.35,50.38333333,,,,,1.0,1.0
6.0,Pellenz,,"50,38333333","7,35",1461,1461,WMD,WMD,,,,7.35,50.38333333,1461.0,1450-1499,,,,
6.0,Pellenz,,"50,38333333","7,35",1350,14. Jh.,WMD,WMD,,,,7.35,50.38333333,1350.0,1350-1399,,,,
