"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
1,"Neukilch im Klettgau",NA,"47,690275","8,499161","1330","1330","CH","CH","i","u","i",0,1330,8.499161,47.690275
1,"Niderbüren",NA,"47,46589","9,2032","1469","1469","CH","CH","i",NA,"i",0,1469,9.2032,47.46589
6,"Nieder-Altertheim bei Würzburg",NA,"49,729722","9,743889","1420","1420","MDT","Franken","i",NA,"i",0,1420,9.743889,49.729722
4,"Niederburnhaupt",NA,"47,71777778","7,161666667","1382","1382","Elsass","Elsass","i",NA,"i",0,1382,7.161666667,47.71777778
2,"Niedermendig","Mendig","50,374444","7,280833","1382","1382","WMD","WMD","i",NA,"i",0,1382,7.280833,50.374444
6,"Nordheim bei Heilbron",NA,"49,108611","9,128611","1495","1495","WOD","Schwaben","i","u","i",0,1495,9.128611,49.108611
4,"Ober-Spechbach",NA,"47,68055556","7,216666667","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.216666667,47.68055556
5,"Oberbuerfn","Oberbüren","47,450002","9,166664","1481","1481","CH","CH","i","u","i",0,1481,9.166664,47.450002
1,"Oberwinterthur bei Winterthur",NA,"47,516666","8,768611","1472","1472","CH","CH","i","u","i",0,1472,8.768611,47.516666
5,"Offenheim","Stutzheim-Offenheim","48,630556","7,618611","1477","vor 1478","Elsass","Elsass","i",NA,"i",0,1477,7.618611,48.630556
4,"Ohnenheim",NA,"48,18361111","7,507222222","1401","15. Jh. Anfang","Elsass","Elsass","i",NA,"i",0,1401,7.507222222,48.18361111
3,"Öringen","Öringen","49,2","9,5","1253","1253","MDT","Franken","i",NA,"i",0,1253,9.5,49.2
2,"Protiche","Bruttig-Fankel","50,131389","7,231667","1468","1468","WMD","WMD","i",NA,"i",0,1468,7.231667,50.131389
1,"Rastatt",NA,"48,856944","8,202778","1370","1370","WOD","Schwarzwald","i",NA,"i",0,1370,8.202778,48.856944
2,"Ravengirsburg bei Simmern Hundsrück",NA,"49,936944","7,478056","1442","1442","WMD","WMD","i",NA,"i",0,1442,7.478056,49.936944
2,"Remich",NA,"49,544917","6,364111","1477","1477","WMD","WMD","i",NA,"i",0,1477,6.364111,49.544917
1,"Rickenbach (St. Gallen)",NA,"47,449995","9,049995","1495","1495","CH","CH","i",NA,"i",0,1495,9.049995,47.449995
1,"Roggwil bei Arwangen Bern",NA,"47,241667","7,823623","1450","15. Jh.","CH","CH","i",NA,"i",0,1450,7.823623,47.241667
1,"Rorschach am Bodensee",NA,"47,478814","9,493842","1469","1469","CH","CH","i",NA,"i",0,1469,9.493842,47.478814
1,"Ruseck (Aargau)","Aue R�ssegg","47,212555","8,399435","1423","1423","CH","CH","i",NA,"i",0,1423,8.399435,47.212555
3,"Salzschlirf",NA,"50,62","9,51","1506","1506","MDT","Hessen","i",NA,"i",0,1506,9.51,50.62
