Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein;Haus;
2;Briedel (Mosel);;50,024042;7,149089;NN;NN;WMD;WMD;;;
4;Brinighofen;;;;1510;1510;Elsass;Elsass;i;;
3;Brokensen (bei Gifhorn);;52,021207;9,482607;1529;1529;NDT;Niedersachsen;;;
3;Bruch (auch Feldbersche Bruch; bei Hannover);;52,3602269;9,656424468;1688;1688;NDT;Niedersachsen;;au;
3;Bruch (auch Feldbersche Bruch; bei Hannover);;52,3602269;9,656424468;1523;1523;NDT;Niedersachsen;;au;
2;Bruch bei Kill und Salm;;49,956944;6,784722;1506;1506;WMD;WMD;;;
1;Bruschwickersheim;;48,579722;7,601667;NN;NN;Elsass;Elsass;i;;
3;Bubenheim;;50,38;7,55;1556;1556;WMD;WMD;;;
1;Bubikon;;47,269714;8,820278;1483;1483;CH;CH;;u;
2;Buch;Buch (Hunsrück);50,076411;7,3942;1551;1551;WMD;WMD;ei;;
3;Buch (bei Landshut);;48,45;12,05;NN;NN;OOD;Baiern;ei;;
2;Büdesheim;;50,217275;6,55669;NN;NN;WMD;WMD;ei;;
2;Büdesheim (Prüm);;50,217275;6,55669;NN;NN;WMD;WMD;ei;;
3;Büdingen;;50,29;9,11;1380;1380;MDT;Hessen;i;;
4;Budwiller;;47,656389;7,149444;1420;1420;Elsass;Elsass;i;;
6;Buervenich bei Nideggen und Euskirchen;;50,655;6,596111;NN;NN;WMD;WMD;;;
4;Bühl Bühel bei Sulz;;;;1453;1453;Elsass;Elsass;i;;
4;Bühl Bühel bei Sulz;;;;NN;NN;Elsass;Elsass;i;;
6;Bülach Effringen bei Calw;;48,661111;8,691944;1462;1462;WOD;Schwaben;;;
3;Bülfrigheim;P�lfringen;49,581155;9,526485;1406;1406;MDT;Franken;ei;;
3;Bullay;;50,055;7,135278;NN;1363 copie von 1726;WMD;WMD;ei;;
4;Buochs Vierwaldstättersee;;46,98;8,42;1433;1433;CH;CH;;;
5;Burgalben (bei Pirmasenz);;;;1484;1484;WMD;WMD;;u;
1;Burgau;;48,43222222;10,40694444;1469;1469;CH;CH;;u;
3;Burgjassa bei Salmünster;;50,28;9,37;1451;1451;MDT;Franken;i;;
6;Burgstadt bei Miltenberg;;49,713611;9,271389;1465;1465;MDT;Franken;;;
2;Burtscheid (bei Aachen);;50,763056;6,092222;1560;1560;WMD;WMD;ei;;
2;Buschhoven;Buschhoven (Swisttal);50,681944;6,978333;1547;1547;WMD;WMD;ei;au;
1;Camberg Würges Erlebach;;50,3;8,266667;1421;1421;MDT;MDT;;u_au;
1;Cappel (bei Achern);;48,591111;8,1175;1450;15. Jh.;WOD;Schwarzwald;i;u;
5;Carbe;Karben;50,230191;8,77297;1613;1613;MDT;Hessen;;au;
3;Carben (Großcarben, Kleincarben, Burggresenrodoe);;50,230191;8,77297;1499;1499;MDT;Hessen;;au;
